title,name,area,rooms,price_lower,price_upper
整租·太华公寓 3室2厅 东/南,东城-崇文门-太华公寓,233.71,3,24000,24000
整租·远洋德邑 2室2厅 东/西,东城-广渠门-远洋德邑,120.56,2,15000,15000
整租·帽儿胡同 1室0厅 南/北,东城-地安门-帽儿胡同,15.00,1,3100,3100
整租·水上华城 2室1厅 西,东城-广渠门-水上华城,103.00,2,11000,11000
整租·潘家坡胡同4号院 3室1厅 南/北,东城-朝阳门外-潘家坡胡同4号院,69.30,3,9800,9800
整租·西革新里124号 2室1厅 南,东城-永定门-西革新里124号,50.84,2,5500,5500
整租·和平里五区 1室1厅 东南,东城-和平里-和平里五区,40.57,1,5200,5200
整租·天娇园 1室1厅 西,东城-东花市-天娇园,36.01,1,5500,5500
整租·海运仓小区 3室1厅 东南,东城-东直门-海运仓小区,88.00,3,12500,12500
整租·安化北里 2室1厅 南/北,东城-广渠门-安化北里,57.69,2,5600,5600
整租·东方银座 3室2厅 西南,东城-东直门-东方银座,138.64,3,18000,18000
整租·新景家园东区 1室0厅 东,东城-崇文门-新景家园东区,42.93,1,7500,7500
整租·长青园 2室1厅 南/北,东城-左安门-长青园,69.15,2,7000,7000
整租·前门前酒店公寓 1房间 西北,东城-天坛-前门前酒店公寓,49.89,1,6000,6000
整租·本家润园C区 2室1厅 东,东城-东花市-本家润园C区,67.35,2,7300,7300
整租·和平里七区 1室1厅 南,东城-和平里-和平里七区,39.00,1,5600,5600
整租·百荣嘉园 2室1厅 东南,东城-永定门-百荣嘉园,71.00,2,6200,6200
整租·广渠家园 1室1厅 西,东城-广渠门-广渠家园,51.23,1,6300,6300
整租·盛德紫阙 1室1厅 东/北,东城-和平里-盛德紫阙,86.80,1,12400,12400
